DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION,BR_ID,BR_NAME
Regular,18075962,adibr61,,2024-11-07 16:55:16,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075962,adibr61,,2024-11-07 16:55:16,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075961,adibr60,,2024-11-07 16:54:53,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075961,adibr60,,2024-11-07 16:54:53,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18076353,lopesbr10,,2024-11-07 18:26:19,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18076353,lopesbr10,,2024-11-07 18:26:19,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075957,adibr39,,2024-11-07 16:54:35,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075957,adibr39,,2024-11-07 16:54:35,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18081067,lopesbr12,,2024-11-08 15:10:07,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18081067,lopesbr12,,2024-11-08 15:10:07,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1161,Duplicate Account
Regular,18144755,lopesbr34,,2024-11-19 11:24:12,",1100,",Verification not relevant,PlayUZU.bet.br,Real User,1500.0,0,0,1,1100,CDD Request
Regular,18109685,puazbr131101,,2024-11-13 12:25:02,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18109685,puazbr131101,,2024-11-13 12:25:02,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18109685,puazbr131101,,2024-11-13 12:25:02,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18162885,lopesbr53,,2024-11-22 13:50:54,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18162885,lopesbr53,,2024-11-22 13:50:54,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
