APPLICATIONTYPE_NAME,SESSIONS_COUNT,ROUNDS_COUNT,TOTAL_BET,AVG_BET,MEDIAN_BET,MEDIAN_ROUNDS_IN_SESSION
Greentube,11,435,761.8,2.9041958041958043,1.6,14.0
NYX Elk,117,6328,25882.0,3.0368176049171023,1.0,29.0
NYX SGI,1,30,7.8,0.26,0.26,30.0
OSS Big Time Gaming,5,254,1745.25,6.525,1.0,45.0
OSS Big Time Gaming Premium,2,21,110.0,3.78125,3.78125,10.5
OSS Evolution,7,204,1012.6,27.83531746031746,3.525,5.0
OSS Evolution Branded,20,207,28610.5,117.71218180876029,119.8529411764706,7.0
OSS Evolution Premium,3,18,1319.5,57.22222222222222,75.0,5.0
OSS Evolution RNG,9,114,705.5,6.846071071071071,6.666666666666667,4.0
OSS Netent,48,2535,6526.75,2.159011702757506,1.494047619047619,23.5
OSS Netent Branded,2,65,46.5,0.7989130434782609,0.7989130434782609,32.5
OSS Red Tiger,33,2579,8692.5,2.533655565451083,0.5745526838966203,50.0
Pragmatic,447,25889,27008.07,4.875248114909447,1.0,33.0
Pragmatic Live,5,40,3661.5,94.04891774891775,77.5,7.0
Relax,11,373,270.5,0.5994854202401372,0.5,20.0
Relax Inspired,32,1366,2262.4,2.6882065889997033,1.0,22.5
Relax Wazdan,25,1687,2835.2,2.846213419318301,0.7743589743589744,70.0
Tequity - Peter and Sons,70,2318,6342.1,2.486727009531701,1.0,19.0
