DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION
Regular,18421832,maclea_aa37,,2025-01-01 16:18:52,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18423750,Meitch,,2025-01-01 21:37:38,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18422924,Fcastro0800,,2025-01-01 19:36:37,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18420851,Heltao,,2025-01-01 12:29:29,",1291,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18435368,dbteste,,2025-01-03 16:19:43,",1020,1011,1016,1012,1291,1290,1017,1010,1326,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18439346,26101982,,2025-01-04 02:23:15,",1020,1292,1291,1290,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18427115,aguiar991229,,2025-01-02 10:42:59,",1010,1016,1012,1020,1011,1291,1017,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427710,vastest529,,2025-01-02 14:00:00,",1010,1016,1012,1020,1011,1291,1017,1290,1343,1292,1161,1235,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18422081,Jefffffer,,2025-01-01 17:07:03,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18425372,ordelino,,2025-01-02 02:07:16,",1291,1343,1290,1020,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18431329,dan-45,,2025-01-02 23:49:19,",1020,1016,1010,1290,1012,1291,1017,1011,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18430219,C1l9a1i2r,,2025-01-02 21:20:24,",1020,1290,1291,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18428760,gableo_el38,,2025-01-02 17:39:24,",1016,1011,1017,1291,1290,1010,1012,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18434841,guivoltz,,2025-01-03 14:22:16,",1343,1020,1011,1016,1291,1290,1017,1010,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427777,motdal_dm173,,2025-01-02 14:14:41,",1020,1291,1290,1343,1292,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18424937,monrod_om42d,,2025-01-02 00:48:43,",1291,1290,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18427794,motdal_ad58,,2025-01-02 14:17:24,",1290,1020,1291,1343,1292,1161,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
Regular,18438771,Nilma0112,,2025-01-04 00:53:13,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2
Regular,18421300,feredu_ee87e,,2025-01-01 14:24:25,",1291,1290,1292,1020,1343,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,1
